Structure,k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN
6,1.21E-03,0.00013142,0.009511142,1.527615647,0.040209083,9.75E-05,0.932208354,0.088901802,7.524133824,0.000771188,0.01073238,0.025899897,0.273248659,0.004710521,9.650479404,0.001387558,0.025444942,0.20652636,0.000943928,5.08E-09,11.11182829,0.058365896,0.000297884,0.010008634,0.000156049,3.933028924,0.004106703,27012.47861,5.27E-05,0.000399889,0.048851137,0.256197351,0.002130167,8.73E-06,0.014855475,0,47.56018866,1.61E-02,7.44E-06,0.003231226,0.000452947,709.3413554,331.9394584,312.0168198,705.0727799,6.122771043
6,2.66E-04,0.002543254,0.001125083,0.378682799,0.000505538,0.449062757,70.41734475,1.965537107,7.324705357,0.407488664,0.020523258,0.016074724,0.013869415,0.000976418,1.438345617,0.001526856,0.000667007,1.635331688,0.012015042,1.01E-07,0.020029322,0.000138102,5.50E-03,0.008356133,0.000108086,0.044798513,0.000511446,16260.53352,1.45E-05,0.028834753,0.013798879,0.066491165,0.000326907,5.19E-04,9.58E-04,0,253.0917975,1.06E-02,0.024179625,0.000420233,0.030642053,10537.94633,957.6784721,272.8140346,3805.314744,34.74864978
6,1.24E-04,0.002807632,0.057752487,0.029035491,0.007419286,0.000115939,0.557501917,0.030112506,6.978657333,3.79E-01,0.289433467,0.02056332,2.238579049,1.20E-05,0.102664015,0.003136156,0.005959812,2.295530749,0.050303837,8.94E-08,0.819145341,0.000587642,0.030058681,0.005404417,5.89E-05,0.157625567,0.004872306,13.359071,2.95E-02,0.004357975,0.000276909,0.876800989,0.008951144,0.004330385,2.68E-05,0,26772.88235,0.000153407,1.90E-05,0.000414887,0.64351457,10335.57577,933.3860045,1184.371913,26.91591494,2.01760469
7,5.79E-05,0.000215614,0.042249793,2.319266583,0.02832065,0.007443819,0.008199701,1.37309023,35.27336787,0.000100641,21.96148439,1.527379194,0.095928553,0.000182518,0.0539045,0.008528642,1.35E-05,0.007789223,9.21E-05,6.40E-06,0.558301727,0.002158672,0.000250331,0.074585343,0.008261118,0.041188547,0,6.522341109,0.025329495,0.001024015,0.108786817,0.038861004,1.25E-05,4.49E-05,8.44E-05,0.31244786,1170.691844,1.10E-05,6.19E-04,0.066120807,0.002808525,6035.08055,29.64957261,26.55037385,11.31405319,2949.088035
7,0.000178054,0.018708813,0.044435835,1.340500649,0.07975564,0.593790222,0.14893394,3.686137168,17.72891322,0.000719402,9.809286522,0.000534843,0.001860807,4.66E-05,0.003275923,0.000128453,2.99E-04,0.004943336,0.037561353,2.70E-09,1.652342154,0.066607762,8.32E-05,3.862642744,0.275965493,0.005833436,0,474.6900401,3.83E-05,0.559410134,0.000276229,0.001598762,0.000888071,2.44E-05,0.000729844,0.072365987,1063.037879,0.002084658,5.88E-06,0.000279297,0.000210351,2908.400463,3.236678325,1.109567615,250.3724741,126.271842
7,0.003693791,0.123402686,0.180317621,0.004627364,8.24E-05,0.000965949,14.22027672,35.71711525,5.106610359,0.006966241,0.818563655,0.011753494,0.00238418,1.56E-04,0.029358504,0.010431547,3.61E-05,0.01043458,6.58E-05,1.55E-05,0.061242705,0.073653376,0.000290755,0.037708833,0.003080691,0.019542194,0,14121.80279,0.000149566,0.000254343,0.000630531,3.90904546,0.0010453,0.014487363,2.86E-03,0.527981991,37.07921769,2.38E-03,3.82E-05,0.029873416,0.001650673,17.63608409,136.444867,1654.852153,0.710468976,297.0074454
7,8.47E-05,0.043600827,0.005454202,0.011847318,0.166029597,0.000690757,1.548637471,11.75654973,16.28829231,0.000136934,3.18125865,0.039412015,0.006604883,0.020442963,0.058427556,5.00E-05,0.000496501,0.173553504,0.000100209,1.02E-08,1.921455351,0.008914366,7.24E-04,3.205395166,0.032602726,0.032297224,0,9.453417074,9.02E-02,0.020726865,0.018603614,6.326008959,1.50E-04,6.19E-05,0.001420983,0.121201113,119.3370035,1.86E-05,9.66E-05,0.003998067,0.000177321,81555.33171,192.8728711,274.5207972,1071.956793,1550.751213
7,1.66E-05,0.164527541,1.578355607,2.695326714,0.012178539,0.187849355,0.110936574,0.644315645,92.16577102,0.020418306,0.00633935,0.026581675,0.124368607,0.000235125,4.976613602,0.000774032,0.000256191,0.009910531,0.00017083,1.54E-05,3.851696513,0.03382701,0.000858901,0.031798861,0.035295632,0.002698443,0,60.63757131,0.000303485,0.003617371,0.002706928,0.003098431,0.000265341,6.36E-06,0.000193038,0.820221932,7.296899533,0.018766796,7.71E-06,0.000283559,0.000132578,6398.765001,213.2789084,25.5446483,5.04400153,331.9393475
7,2.28E-04,0.023628711,0.996130314,0.081483159,0.000374489,0.001629292,1.025021352,13.81618237,81.40436371,5.54E-05,40.92237259,1.507281087,2.349607893,3.81E-03,0.965313931,3.80E-05,0.001963479,0.035803082,9.32E-05,1.07E-07,0.376854615,0.019574337,2.90E-05,0.030717547,0.007802645,0.004124115,0,35000.9432,0.009744781,0.214302008,0.010960909,0.166163311,5.34E-04,0.000160209,0.005288404,0.753536088,384.873866,0.000611175,5.76E-04,0.003995402,0.000247361,633.4160436,592.744545,8.378872935,36.90408392,331.1030238
7,6.36E-05,0.0001845,0.001060361,0.057825551,0.000972921,0.000389475,0.133071794,17.57851201,3.561595494,0.025570983,37.65684541,0.751620918,0.002428051,0.000194184,0.487317249,0.076499063,3.40E-04,1.066948249,7.57E-02,3.41E-06,0.845781515,0.000105852,9.74E-05,0.513163188,0.000203649,0.028899287,0,1098.718974,0.01185675,0.000193715,0.003952056,0.011167646,5.63E-05,0.020284873,9.91E-05,0.000401867,34966.86683,6.20E-02,2.04E-04,0.001521617,0.15917718,156.0989255,434.6790754,2241.133512,3954.505944,9.991014402
